,Window,Start date,End date,Coefficient,Constant
275,90,2022-07-06,2022-10-04,1.7612977763445914,0.32375032077145366
276,90,2022-07-13,2022-10-11,1.7212861574398126,0.3350385257931255
277,90,2022-07-20,2022-10-18,1.8075906498274337,0.30222271684208074
278,90,2022-07-27,2022-10-25,1.684419361260357,0.16344411501473957
279,90,2022-08-03,2022-11-01,1.7351789908148776,0.2918289873267866
280,90,2022-08-10,2022-11-08,1.6691226170233742,0.15676075229987535
281,90,2022-08-17,2022-11-15,1.6376957919153603,0.10172794181072692
282,90,2022-08-24,2022-11-22,1.6092189435522688,0.3289965662015093
283,90,2022-08-31,2022-11-29,1.47281162861352,0.42617277746008697
284,90,2022-09-07,2022-12-06,1.2878385324158668,-0.004580232835804779
285,90,2022-09-14,2022-12-13,1.1215433986497205,-0.580377048326944
286,90,2022-09-21,2022-12-20,1.6277149852130668,0.527676706795326
287,90,2022-09-28,2022-12-27,0.716501730005374,-1.9417508691873162
288,180,2020-01-01,2020-06-29,1.5663718382748528,-0.23102252079175334
289,180,2020-01-08,2020-07-06,1.5681277966443583,-0.2607117749048617
290,180,2020-01-15,2020-07-13,1.574411291818023,-0.27224084591539566
291,180,2020-01-22,2020-07-20,1.5643306974826645,-0.2680125285270218
292,180,2020-01-29,2020-07-27,1.601933000212541,-0.23662648204143732
293,180,2020-02-05,2020-08-03,1.6081565996680087,-0.23327606474789145
294,180,2020-02-12,2020-08-10,1.6117265902711604,-0.24495792970508487
295,180,2020-02-19,2020-08-17,1.6407732577149803,-0.2663072796907126
296,180,2020-02-26,2020-08-24,1.6713811831189598,-0.3696386194921853
297,180,2020-03-04,2020-08-31,1.7063080599365774,-0.3781704762439567
298,180,2020-03-11,2020-09-07,1.7554697097656893,-0.3986042534123417
299,180,2020-03-18,2020-09-14,1.7521802885208644,-0.3624654582093796
300,180,2020-03-25,2020-09-21,1.4806241779992821,-0.2312458959369263
301,180,2020-04-01,2020-09-28,1.4896638291313171,-0.23068119863358713
302,180,2020-04-08,2020-10-05,1.569220350016651,-0.14672891403692
303,180,2020-04-15,2020-10-12,1.7034889228337862,-0.21061559693656146
304,180,2020-04-22,2020-10-19,1.7109366258431482,-0.29916369445743923
305,180,2020-04-29,2020-10-26,1.7024832866085688,-0.3267268037573575
306,180,2020-05-06,2020-11-02,1.7011144073457598,-0.32765315808409645
307,180,2020-05-13,2020-11-09,1.6926997035576792,-0.32388939003040157
308,180,2020-05-20,2020-11-16,1.7364771418016323,-0.2798509552802044
309,180,2020-05-27,2020-11-23,1.7200349667855008,-0.32089091739413583
310,180,2020-06-03,2020-11-30,1.712909385503778,-0.3391946998941075
311,180,2020-06-10,2020-12-07,1.7073569371694781,-0.3383623465086844
312,180,2020-06-17,2020-12-14,1.7195071962553232,-0.32358712013747604
313,180,2020-06-24,2020-12-21,1.7610996385853748,-0.3326022128793239
314,180,2020-07-01,2020-12-28,1.7627999914875736,-0.347944865349663
315,180,2020-07-08,2021-01-04,1.7476629774002443,-0.34373288302601795
316,180,2020-07-15,2021-01-11,1.7496263879109069,-0.301688259012309
317,180,2020-07-22,2021-01-18,1.6638421653051982,-0.22344055534107268
318,180,2020-07-29,2021-01-25,1.5336914123185497,-0.1892858075353738
319,180,2020-08-05,2021-02-01,1.482680713669134,-0.19668549013816686
320,180,2020-08-12,2021-02-08,1.3408321960189185,-0.13700040504963912
321,180,2020-08-19,2021-02-15,1.3225020021917944,-0.1669591536359994
322,180,2020-08-26,2021-02-22,1.4033013583875473,-0.1308133416553861
323,180,2020-09-02,2021-03-01,1.3225827134065906,-0.0965379365695466
324,180,2020-09-09,2021-03-08,1.4550588259339425,-0.09316449646519208
325,180,2020-09-16,2021-03-15,1.4704322652811834,-0.10019847695436765
326,180,2020-09-23,2021-03-22,1.4719542592871555,-0.10083697157224432
327,180,2020-09-30,2021-03-29,1.3103409818934548,-0.03476477906674855
328,180,2020-10-07,2021-04-05,1.2185130322483346,0.003642800001291653
329,180,2020-10-14,2021-04-12,1.2221041251660174,-0.01219010717853646
330,180,2020-10-21,2021-04-19,1.2196079616379603,0.019822563926448204
331,180,2020-10-28,2021-04-26,1.1877017065041278,0.013255836703363602
332,180,2020-11-04,2021-05-03,1.1530570540703462,0.037199850342227
333,180,2020-11-11,2021-05-10,1.1500521151895997,0.02436353778699798
334,180,2020-11-18,2021-05-17,1.0818040650801428,-0.013119810407128275
335,180,2020-11-25,2021-05-24,1.1873283432050294,0.08112321269041674
336,180,2020-12-02,2021-05-31,1.1984986398813329,0.11884082079331856
337,180,2020-12-09,2021-06-07,1.1403154021607222,0.12429443749010168
338,180,2020-12-16,2021-06-14,1.136977527851231,0.1155095808994429
339,180,2020-12-23,2021-06-21,1.288296705121661,0.05165819473455748
340,180,2020-12-30,2021-06-28,1.2780254153657673,0.13852429575916983
341,180,2021-01-06,2021-07-05,1.3120255909838974,0.16982995244600338
342,180,2021-01-13,2021-07-12,1.3005036666288283,0.09999521804625149
343,180,2021-01-20,2021-07-19,1.3218059611004027,0.06388857342680639
344,180,2021-01-27,2021-07-26,1.3479639156586178,0.02574416039338168
345,180,2021-02-03,2021-08-02,1.339262026234291,0.02655922443575178
346,180,2021-02-10,2021-08-09,1.4455935684922516,0.040123030941441505
347,180,2021-02-17,2021-08-16,1.4257876691957385,0.10341452963812274
348,180,2021-02-24,2021-08-23,1.42724003250102,0.13556724647930443
349,180,2021-03-03,2021-08-30,1.484358203176419,0.1835685504097928
350,180,2021-03-10,2021-09-06,1.3709259631500574,0.19741072705828908
351,180,2021-03-17,2021-09-13,1.3112778907811402,0.19873849956041262
352,180,2021-03-24,2021-09-20,1.3362384352583145,0.20322303023753718
353,180,2021-03-31,2021-09-27,1.476943858406377,0.13674260485164097
354,180,2021-04-07,2021-10-04,1.6464698268234839,0.06579300642045803
355,180,2021-04-14,2021-10-11,1.6086282971293204,0.07588768935058163
356,180,2021-04-21,2021-10-18,1.6380229645647444,0.06940302362430585
357,180,2021-04-28,2021-10-25,1.7259190116795986,0.09441478671112995
358,180,2021-05-05,2021-11-01,1.7693518679968396,0.10448018031337829
359,180,2021-05-12,2021-11-08,1.7650938679938382,0.11862770584281997
360,180,2021-05-19,2021-11-15,1.793972991434311,0.1011480714099592
361,180,2021-05-26,2021-11-22,1.5260944323107417,-0.005155414239851894
362,180,2021-06-02,2021-11-29,1.5251871612367356,-0.046275472584717196
363,180,2021-06-09,2021-12-06,1.5937674816809602,-0.02455517694411144
